月份,行車事故,行車事件,總和
10901,5,46,51
10902,6,42,48
10903,3,52,55
10904,7,45,52
10905,7,50,57
10906,9,56,65
10907,4,49,53
10908,5,52,57
10909,3,42,45
10910,6,42,48
10911,3,43,46
10912,2,53,55
11001,4,74,78
11002,5,43,48
11003,3,40,43
11004,10,47,57
11005,4,61,65
11006,4,51,55
11007,3,52,55
11008,5,73,78
11009,1,47,48
11010,1,54,55
11011,4,50,54
11012,4,59,63
11101,4,63,67
11102,8,47,55
11103,2,52,54
11104,4,38,42
11105,1,38,39
11106,3,63,66
11107,6,49,55
11108,5,43,48
11109,1,38,39
11110,10,69,79
11111,2,59,61
11112,2,56,58
11201,3,38,41
11202,5,58,63
11203,2,53,55
11204,4,49,53
11205,2,56,58
11206,3,69,72
11207,3,70,73
11208,2,71,73
11209,10,59,69
11210,2,55,57
11211,3,83,86
11212,3,71,74
11301,5,71,76
11302,5,59,64
11303,8,56,64
11304,2,116,118
11305,4,76,80
11306,3,84,87
11307,3,82,85
11308,5,90,95
11309,4,82,86
