"",,,,,,鋼,,軌,(  公  尺  )
"",,,,,,,,Rail ( m ),
"",,,,,年,(月)底,,抽  換  長  度,抽換占總長度
"",,,,,總,(長)度,,,百分比
"",,,,,Total Length,,,Length,Replaced vs.
"",,,,,,,,Replaced,Total Length (%)
民 國,107 年,,2018,,,"4,924,393",,"24,918",0.51
民 國,108 年,,2019,,,"4,856,110",,"76,046",1.57
民 國,109 年,,2020,,,"4,919,218",,"152,857",3.11
民 國,110 年,,2021,,,"4,891,779",,"57,716",1.18
民 國,111 年,,2022,,,"4,891,779",,"51,676",1.06
民 國,112 年,,2023,,,"4,891,925",,"80,408",1.64
"",2  月,,Feb.,,,"4,891,779",,"20,511",0.42
"",3  月,,Mar.,,,"4,891,779",,63,0.00
"",4  月,,Apr.,,,"4,891,779",,"2,250",0.05
"",5  月,,May,,,"4,891,623",,"2,040",0.04
"",6  月,,June,,,"4,891,623",,"3,975",0.08
"",7  月,,July,,,"4,891,623",,"34,944",0.71
"",8  月,,Aug.,,,"4,891,623",,"1,572",0.03
"",9  月,,Sep.,,,"4,891,623",,386,0.01
"",10  月,,Oct.,,,"4,891,623",,"4,269",0.09
"",11  月,,Nov.,,,"4,891,623",,"5,915",0.12
"",12  月,,Dec.,,,"4,891,925",,"4,470",0.09
民 國,113 年,,2024,,,"4,891,925",,"4,464",0.09
"",1  月,,Jan.,,,"4,891,925",,"1,796",0.04
"",2  月,,Feb.,,,"4,891,925",,"2,667",0.05
與上月比較增減(%),,,,,,,-,48.46,0.02
This Month  vs. Last Month,,,,,,,,,
"",,,,,,,,,
與上年同月比較增減(%),,,,,,0.00,,-87.00,-0.36
This Month vs. The Same Month,,,,,,,,,
of Last Year,,,,,,,,,
本年累計與上年同期比較增減(%),,,,,,0.00,,-78.25,-0.33
The Accumulation from Jan. to Date,,,,,,,,,
vs. The Same Period of Last Year,,,,,,,,,
